RUA,NUM,IDD,SEXO
RUA J,674,66,M
RUA I,752,97,M
RUA A,960,20,M
RUA I,646,64,F
RUA W,123,90,F
RUA G,739,53,F
RUA A,975,6,M
RUA C,781,96,F
RUA R,836,76,F
RUA D,974,89,M
RUA F,125,79,M
RUA J,436,28,M
RUA Q,143,96,F
RUA T,856,80,M
RUA T,573,14,F
RUA R,28,28,F
RUA D,991,85,M
RUA C,985,89,F
RUA H,453,10,F
RUA S,442,80,M
RUA M,886,96,M
RUA M,62,18,M
RUA K,976,47,F
RUA A,407,29,M
RUA X,111,52,M
RUA K,920,85,F
RUA U,64,91,F
RUA W,339,40,F
RUA E,9,71,M
RUA W,49,36,M
RUA J,389,17,M
RUA M,829,74,M
RUA J,407,54,M
RUA C,679,8,F
RUA Q,907,70,M
RUA N,510,34,F
RUA M,940,18,F
RUA J,367,39,M
RUA G,456,58,F
RUA K,545,55,M
RUA W,663,58,F
RUA G,226,80,M
RUA X,538,6,M
RUA M,962,38,M
RUA R,839,100,F
RUA C,276,76,F
RUA U,277,16,F
RUA P,430,25,F
RUA B,382,22,F
RUA W,460,83,F
RUA D,341,7,M
RUA P,167,11,M
RUA R,749,37,M
RUA G,996,17,M
RUA A,221,48,M
RUA I,907,13,M
RUA I,768,53,F
RUA I,73,21,M
RUA E,640,32,M
RUA B,587,93,F
RUA J,325,40,F
RUA B,993,22,F
RUA M,964,43,F
RUA N,54,60,F
RUA T,197,66,M
RUA F,195,20,M
RUA Q,386,61,M
RUA C,104,8,M
RUA T,103,60,F
RUA B,727,29,M
RUA J,380,99,F
RUA E,453,15,M
RUA V,76,54,F
RUA V,358,92,F
RUA X,907,82,M
RUA W,47,91,F
RUA L,127,39,M
RUA E,449,94,F
RUA R,705,92,F
RUA L,886,56,F
RUA B,231,82,F
RUA J,160,14,M
RUA Q,971,75,F
RUA T,377,1,F
RUA O,567,68,M
RUA G,298,29,M
RUA G,659,49,M
RUA Q,333,40,F
RUA R,371,48,F
RUA H,745,36,F
RUA R,758,76,F
RUA A,675,94,F
RUA T,397,22,F
RUA C,495,8,F
RUA E,980,21,F
RUA C,860,65,F
RUA C,231,24,F
RUA C,623,97,F
RUA W,869,94,F
RUA B,372,38,F
RUA R,634,49,F
RUA R,742,83,M
RUA K,84,76,F
RUA M,215,87,F
RUA V,92,30,F
RUA E,64,25,M
RUA N,109,77,F
RUA Q,390,51,M
RUA L,800,76,M
RUA O,307,56,F
RUA C,501,18,M
RUA J,280,60,M
RUA W,503,31,F
RUA N,583,46,M
RUA H,845,17,M
RUA F,786,31,F
RUA O,540,10,M
RUA M,650,95,M
RUA V,627,29,M
RUA I,665,55,M
RUA S,317,80,M
RUA I,92,21,M
RUA S,42,46,M
RUA W,898,12,M
RUA O,359,50,F
RUA B,364,5,F
RUA G,429,83,M
RUA X,137,25,F
RUA P,991,78,F
RUA J,406,94,M
RUA H,149,40,M
RUA M,552,22,F
RUA C,93,63,M
RUA H,131,19,F
RUA B,320,24,F
RUA K,679,4,F
RUA J,592,48,F
RUA L,14,10,M
RUA B,869,49,M
RUA D,888,28,F
RUA O,407,92,M
RUA U,19,41,M
RUA V,622,65,F
RUA G,835,65,M
RUA J,452,93,M
RUA L,625,74,F
RUA M,21,49,M
RUA B,509,73,M
RUA J,276,37,M
RUA T,317,15,M
RUA X,100,86,M
RUA D,284,36,M
RUA I,380,88,M
RUA O,834,55,M
RUA E,533,81,F
RUA K,857,34,M
RUA S,676,6,M
RUA D,993,91,M
RUA O,981,6,M
RUA T,128,88,M
RUA U,782,29,M
RUA B,232,2,M
RUA U,588,13,F
RUA D,820,97,M
RUA O,805,95,M
RUA J,240,11,M
RUA I,620,53,M
RUA E,433,27,F
RUA B,449,94,F
RUA H,810,41,F
RUA T,257,29,M
RUA S,931,28,M
RUA X,76,93,F
RUA Q,12,4,F
RUA D,540,91,F
RUA H,616,48,F
RUA M,29,70,F
RUA P,804,36,M
RUA D,676,85,M
RUA W,708,1,F
RUA V,282,71,F
RUA E,109,54,M
RUA G,17,98,F
RUA U,515,3,M
RUA C,33,53,M
RUA C,476,7,M
RUA G,776,27,F
RUA P,121,8,F
RUA R,388,26,M
RUA H,875,62,M
RUA K,589,45,M
RUA S,973,70,F
RUA W,411,61,F
RUA M,720,49,F
RUA Q,548,82,M
RUA R,946,39,M
RUA I,229,60,F
RUA H,807,4,F
RUA L,733,76,F
RUA R,251,48,F
RUA V,980,46,M
RUA X,358,11,M
RUA N,775,32,F
RUA D,548,72,F
RUA B,362,2,F
RUA G,633,4,F
RUA E,42,15,F
RUA V,585,64,M
RUA A,602,69,M
RUA M,453,9,F
RUA C,27,18,M
RUA O,902,95,M
RUA D,504,21,M
RUA H,21,35,M
RUA F,694,63,M
RUA G,740,54,F
RUA B,296,29,F
RUA K,779,64,F
RUA A,8,69,F
RUA C,205,25,M
RUA L,476,55,F
RUA G,144,44,M
RUA X,346,98,F
RUA B,411,64,F
RUA J,457,30,M
RUA Q,101,12,M
RUA A,900,82,M
RUA P,569,17,M
RUA I,260,83,M
RUA M,940,39,M
RUA D,302,64,F
RUA L,69,26,F
RUA X,357,82,M
RUA A,985,4,M
RUA A,965,79,M
RUA T,514,82,F
RUA S,258,76,M
RUA L,136,9,M
RUA N,532,40,M
RUA F,562,77,F
RUA M,700,18,F
RUA P,472,85,F
RUA J,219,26,F
RUA I,347,4,F
RUA W,184,99,M
RUA I,768,4,F
RUA D,101,13,F
RUA D,990,82,F
RUA R,813,24,F
RUA U,286,94,M
RUA D,278,93,F
RUA J,963,65,M
RUA P,621,48,F
RUA V,75,42,F
RUA J,51,49,F
RUA J,560,83,M
RUA P,10,66,M
RUA T,63,64,F
RUA L,720,17,F
RUA H,294,90,M
RUA L,358,2,F
RUA F,427,34,M
RUA P,71,44,F
RUA A,981,16,M
RUA W,35,6,F
RUA T,339,85,M
RUA O,627,19,F
RUA Q,680,64,M
RUA Q,286,56,M
RUA O,784,92,F
RUA U,74,45,F
RUA D,794,31,F
RUA C,992,41,F
RUA X,521,60,F
RUA V,983,82,M
RUA L,685,22,M
RUA X,389,38,M
RUA L,580,35,M
RUA A,566,55,F
RUA O,85,71,F
RUA P,531,11,F
RUA E,534,40,F
RUA B,971,77,F
RUA I,384,73,F
RUA K,683,67,M
RUA S,228,56,M
RUA V,259,12,F
RUA H,591,53,F
RUA D,991,58,F
RUA F,865,80,M
RUA D,472,57,M
RUA Q,466,6,F
RUA I,467,25,F
RUA D,466,62,M
RUA G,298,15,F
RUA H,424,48,F
RUA V,45,92,M
RUA F,54,88,M
RUA G,7,35,F
RUA K,133,60,F
RUA D,280,90,M
RUA P,458,23,M
RUA L,86,35,M
RUA F,111,61,F
RUA N,387,68,F
RUA V,986,100,M
RUA T,430,64,F
RUA B,629,64,M
RUA N,244,63,M
RUA C,602,51,F
RUA E,397,96,M
RUA W,835,51,F
RUA I,711,56,M
RUA X,644,36,M
RUA L,988,89,M
RUA Q,383,46,F
RUA F,623,84,F
RUA E,682,92,F
RUA V,152,74,M
RUA J,511,51,M
RUA F,846,31,M
RUA V,81,60,M
RUA W,383,32,M
RUA D,632,91,M
RUA M,629,17,M
RUA L,919,67,M
RUA F,587,49,F
RUA G,289,79,F
RUA E,442,85,F
RUA T,626,76,M
RUA K,449,13,F
RUA W,461,4,F
RUA C,935,63,M
RUA J,885,72,F
RUA S,385,83,F
RUA W,188,100,F
RUA T,442,55,F
RUA E,310,69,M
RUA C,908,47,F
RUA M,600,60,F
RUA C,978,12,M
RUA E,459,82,M
RUA L,805,54,M
RUA G,988,19,M
RUA M,773,52,F
RUA F,855,51,M
RUA D,308,3,F
RUA R,69,94,F
RUA S,412,19,F
RUA H,494,78,F
RUA G,631,69,M
RUA F,962,46,M
RUA D,693,28,M
RUA F,916,7,F
RUA B,394,99,M
RUA R,790,29,F
RUA N,434,23,F
RUA N,592,57,M
RUA V,900,29,F
RUA U,5,72,M
RUA Q,300,49,F
RUA V,147,41,F
RUA G,959,26,M
RUA U,755,72,M
RUA R,34,69,F
RUA S,352,72,M
RUA K,428,100,M
RUA N,957,59,M
RUA O,793,36,M
RUA U,266,96,M
RUA C,13,69,F
RUA D,555,7,M
RUA O,426,12,F
RUA C,884,1,F
RUA G,24,20,F
RUA N,75,18,F
RUA R,817,24,M
RUA G,210,81,M
RUA V,742,80,F
RUA J,385,6,M
RUA D,193,74,M
RUA O,123,100,M
RUA R,903,54,F
RUA J,579,89,M
RUA L,517,59,M
RUA R,501,58,M
RUA W,596,86,M
RUA F,988,3,F
RUA D,386,2,M
RUA O,640,26,M
RUA B,906,67,F
RUA G,605,19,F
RUA N,416,85,F
RUA E,854,52,F
RUA Q,176,44,F
RUA B,406,6,M
RUA N,102,4,M
RUA L,375,26,F
RUA U,170,87,M
RUA M,338,80,F
RUA A,667,16,F
RUA R,608,15,M
RUA E,38,78,F
RUA A,661,48,M
RUA T,100,13,M
RUA U,835,79,F
RUA F,943,43,M
RUA S,601,35,M
RUA A,908,1,M
RUA T,441,9,F
RUA O,45,41,F
RUA S,134,85,F
RUA X,540,21,F
RUA T,585,39,M
RUA U,726,49,M
RUA K,787,70,M
RUA O,758,5,F
RUA V,586,89,F
RUA A,163,52,M
RUA A,251,76,M
RUA M,671,43,F
RUA E,345,53,M
RUA H,605,49,M
RUA B,738,65,F
RUA V,140,19,F
RUA O,998,90,M
RUA J,882,96,F
RUA A,136,84,M
RUA J,384,83,M
RUA W,364,89,M
RUA N,841,10,F
RUA O,652,34,F
RUA T,333,58,F
RUA T,423,45,F
RUA E,750,16,F
RUA X,815,56,M
RUA U,165,91,F
RUA N,15,34,M
RUA N,99,95,F
RUA A,79,35,M
RUA T,763,89,F
RUA H,104,29,M
RUA S,474,44,F
RUA A,548,42,F
RUA V,246,5,F
RUA K,898,29,F
RUA R,710,50,M
RUA E,433,48,F
RUA P,542,40,F
RUA H,741,22,M
RUA I,340,83,F
RUA H,848,97,M
RUA H,407,48,M
RUA D,458,13,F
RUA N,1000,5,M
RUA M,787,88,F
RUA X,307,17,M
RUA S,13,69,F
RUA H,543,52,F
RUA A,232,12,M
RUA E,945,93,F
RUA G,84,47,F
RUA U,52,61,M
RUA D,15,36,M
RUA G,538,26,M
RUA T,353,13,M
RUA I,99,66,F
RUA B,584,69,F
RUA X,780,18,F
RUA C,277,92,F
RUA Q,261,22,M
RUA D,696,9,F
RUA X,544,70,F
RUA C,690,25,M
RUA L,27,8,F
RUA C,937,74,M
RUA U,448,8,M
RUA B,440,11,M
RUA M,511,18,M
RUA S,331,78,M
RUA M,557,55,F
RUA C,812,15,M
RUA Q,518,50,F
RUA X,839,72,F
RUA P,893,23,M
RUA O,282,41,M
RUA M,814,85,F
RUA A,472,93,M
RUA B,702,77,F
RUA U,273,36,F
RUA J,95,60,M
RUA P,534,75,F
RUA J,626,35,F
RUA K,395,22,M
RUA H,35,99,F
RUA Q,344,43,M
RUA E,868,7,F
RUA M,802,31,F
RUA M,630,80,F
RUA T,416,89,M
RUA U,850,32,F
RUA D,59,1,F
RUA T,95,32,M
RUA K,94,23,F
RUA J,435,79,M
RUA G,123,86,F
RUA D,684,30,M
RUA Q,408,80,M
RUA I,524,71,M
RUA I,229,95,F
RUA N,112,53,F
RUA R,298,59,M
RUA Q,729,92,M
RUA O,493,45,M
RUA N,144,69,M
RUA W,989,64,M
RUA L,27,41,M
RUA M,396,28,F
RUA D,597,26,F
RUA A,344,20,F
RUA X,984,100,F
RUA F,222,21,M
RUA J,511,87,M
RUA T,376,25,M
RUA N,570,13,F
RUA N,421,16,F
RUA E,17,29,F
RUA B,379,64,M
RUA X,181,54,M
RUA H,167,68,F
RUA U,841,5,M
RUA F,885,54,F
RUA A,156,57,F
RUA R,816,71,F
RUA I,871,50,F
RUA X,938,68,F
RUA T,33,84,F
RUA D,610,24,F
RUA X,506,12,M
RUA M,736,80,F
RUA J,166,14,F
RUA P,140,42,M
RUA F,920,49,M
RUA L,298,92,F
RUA H,537,41,F
RUA L,505,34,F
RUA F,651,61,M
RUA X,338,29,M
RUA G,574,29,F
RUA L,971,88,M
RUA S,978,81,M
RUA B,368,79,F
RUA E,992,87,M
RUA K,912,23,M
RUA E,141,58,M
RUA B,996,79,F
RUA A,668,89,M
RUA F,869,51,F
RUA C,283,4,M
RUA I,265,29,M
RUA F,258,90,M
RUA K,916,34,F
RUA I,427,66,M
RUA Q,524,39,M
RUA Q,609,41,F
RUA D,109,31,F
RUA H,648,31,M
RUA O,244,61,M
RUA O,455,86,F
RUA O,18,91,M
RUA R,294,39,F
RUA O,373,55,M
RUA H,369,4,F
RUA P,879,83,F
RUA B,556,8,M
RUA A,28,20,M
RUA D,644,72,M
RUA L,643,1,F
RUA H,581,87,M
RUA B,530,73,F
RUA J,829,96,F
RUA F,844,40,M
RUA H,496,57,M
RUA A,601,90,F
RUA P,391,94,F
RUA G,857,79,F
RUA S,778,34,F
RUA L,841,30,F
RUA W,819,2,F
RUA B,230,19,M
RUA N,342,17,F
RUA I,701,51,M
RUA N,591,34,F
RUA O,859,27,M
RUA M,451,52,M
RUA D,421,21,M
RUA D,923,88,F
RUA U,205,28,F
RUA B,733,8,F
RUA E,499,0,M
RUA Q,71,69,M
RUA D,127,64,F
RUA X,38,22,F
RUA C,275,22,M
RUA D,242,62,M
RUA B,806,47,M
RUA K,95,49,F
RUA C,839,1,M
RUA R,916,95,F
RUA S,979,41,M
RUA L,434,27,M
RUA F,806,17,M
RUA K,190,74,F
RUA I,154,36,M
RUA A,926,80,M
RUA N,102,51,F
RUA U,944,43,M
RUA W,718,34,F
RUA P,563,90,F
RUA E,184,74,M
RUA D,967,70,M
RUA U,8,90,M
RUA J,648,67,M
RUA K,378,41,M
RUA R,275,35,M
RUA A,849,1,F
RUA A,463,47,F
RUA R,451,33,M
RUA W,175,34,F
RUA V,517,44,F
RUA J,852,12,M
RUA T,481,98,F
RUA E,28,24,M
RUA D,496,44,F
RUA E,737,66,F
RUA T,357,40,F
RUA B,14,28,F
RUA P,516,33,M
RUA X,302,78,M
RUA X,917,9,F
RUA N,420,71,F
RUA V,767,58,M
RUA N,278,63,F
RUA M,584,81,F
RUA N,682,38,F
RUA F,762,49,M
RUA E,790,88,M
RUA J,550,43,M
RUA G,288,53,F
RUA K,216,28,M
RUA J,245,1,F
RUA I,373,65,F
RUA C,376,11,M
RUA O,440,6,F
RUA Q,214,89,F
RUA S,629,90,F
RUA I,504,42,F
RUA I,424,37,F
RUA V,413,11,F
RUA O,954,31,M
RUA D,857,5,M
RUA L,221,98,F
RUA P,467,61,M
RUA O,904,75,F
RUA A,258,49,M
RUA L,585,39,F
RUA W,158,45,M
RUA N,597,55,F
RUA R,360,37,F
RUA C,885,44,F
RUA J,26,32,M
RUA V,346,71,F
RUA K,859,59,M
RUA L,844,75,F
RUA F,881,46,F
RUA A,679,100,M
RUA S,580,45,F
RUA R,879,2,F
RUA V,372,44,M
RUA P,686,8,F
RUA I,577,30,M
RUA B,209,42,M
RUA S,25,56,M
RUA X,701,3,M
RUA J,587,72,F
RUA F,777,39,M
RUA L,938,70,F
RUA E,21,77,M
RUA D,227,10,M
RUA M,22,43,F
RUA A,587,73,F
RUA T,532,11,M
RUA O,332,52,F
RUA F,217,6,F
RUA M,790,97,M
RUA W,161,58,F
RUA Q,538,62,M
RUA H,530,94,M
RUA S,884,13,F
RUA M,783,42,M
RUA C,293,17,M
RUA L,493,100,M
RUA D,629,3,M
RUA H,625,33,M
RUA H,191,42,F
RUA M,73,62,M
RUA Q,804,85,F
RUA T,665,91,M
RUA Q,693,0,F
RUA N,214,43,F
RUA T,919,14,M
RUA T,768,69,M
RUA E,712,68,M
RUA W,271,71,F
RUA J,137,62,M
RUA Q,206,63,F
RUA S,143,54,F
RUA S,15,7,F
RUA P,452,52,F
RUA W,20,79,F
RUA A,122,54,M
RUA G,988,97,M
RUA W,983,22,F
RUA D,527,92,F
RUA V,99,81,F
RUA E,576,21,M
RUA O,562,37,F
RUA H,272,56,F
RUA P,615,71,M
RUA X,208,74,M
RUA G,768,76,F
RUA A,216,8,F
RUA B,945,56,M
RUA L,950,36,F
RUA T,491,78,M
RUA B,951,39,M
RUA W,760,75,F
RUA B,454,60,F
RUA J,357,93,M
RUA H,724,17,F
RUA C,151,76,M
RUA A,838,6,F
RUA G,366,57,F
RUA G,331,37,F
RUA O,631,33,M
RUA R,458,59,F
RUA W,823,31,F
RUA G,54,8,F
RUA H,68,28,M
RUA W,674,86,M
RUA N,982,22,F
RUA E,966,24,F
RUA B,1,72,M
RUA P,977,74,F
RUA G,262,37,F
RUA H,275,43,F
RUA H,531,39,M
RUA W,209,4,F
RUA B,650,72,M
RUA O,777,19,F
RUA E,100,79,M
RUA U,957,58,F
RUA P,872,82,M
RUA T,835,80,F
RUA L,725,22,F
RUA X,803,45,F
RUA M,653,70,M
RUA W,930,56,M
RUA K,222,1,F
RUA U,745,0,M
RUA M,73,25,M
RUA M,272,51,F
RUA T,299,28,M
RUA R,518,10,F
RUA K,518,20,F
RUA H,994,4,M
RUA C,563,11,F
RUA D,578,92,M
RUA H,770,65,F
RUA D,537,10,M
RUA F,624,55,M
RUA S,450,12,M
RUA J,921,98,M
RUA H,313,100,M
RUA L,809,73,M
RUA V,171,22,M
RUA K,701,61,M
RUA G,711,74,F
RUA L,763,92,F
RUA A,542,41,F
RUA R,368,11,F
RUA C,788,6,M
RUA H,630,86,M
RUA P,863,75,M
RUA U,451,23,M
RUA E,302,29,F
RUA B,956,89,M
RUA L,559,25,F
RUA E,552,26,M
RUA U,455,69,M
RUA S,156,4,M
RUA A,460,32,F
RUA E,184,42,F
RUA H,167,53,F
RUA P,907,22,M
RUA G,642,95,F
RUA G,580,5,M
RUA J,167,91,F
RUA P,90,67,F
RUA A,416,71,F
RUA S,198,69,M
RUA M,343,93,M
RUA S,567,26,M
RUA B,529,49,M
RUA W,216,98,F
RUA B,826,68,M
RUA H,141,39,F
RUA S,409,8,F
RUA J,766,78,F
RUA I,198,13,M
RUA K,30,97,M
RUA B,144,63,M
RUA J,606,45,F
RUA I,861,86,M
RUA X,824,25,F
RUA Q,396,52,M
RUA C,760,86,F
RUA T,984,65,F
RUA U,494,59,M
RUA J,661,97,M
RUA L,119,31,F
RUA W,649,64,M
RUA D,218,43,F
RUA M,305,38,F
RUA H,408,95,M
RUA M,652,6,M
RUA O,398,46,F
RUA U,545,91,M
RUA O,137,9,M
RUA S,687,75,F
RUA R,687,97,M
RUA C,269,61,M
RUA A,472,15,M
RUA I,287,3,F
RUA U,843,97,M
RUA K,843,67,F
RUA B,792,98,F
RUA P,180,85,F
RUA N,293,30,M
RUA U,818,52,F
RUA K,390,91,F
RUA C,224,74,F
RUA P,110,50,M
RUA E,341,4,F
RUA A,784,11,F
RUA V,972,84,F
RUA N,644,30,M
RUA X,983,84,F
RUA L,995,32,M
RUA K,359,79,M
RUA B,711,19,F
RUA X,375,66,F
RUA C,71,5,F
RUA O,875,54,M
RUA E,50,9,M
RUA Q,264,78,F
RUA L,78,64,M
RUA B,412,89,M
RUA S,980,27,M
RUA X,893,30,M
RUA T,772,26,M
RUA W,213,3,F
RUA U,400,32,F
RUA P,635,4,M
RUA B,596,65,F
RUA P,326,32,F
RUA Q,383,41,F
RUA V,400,41,F
RUA H,76,49,F
RUA N,232,92,F
RUA F,523,77,F
RUA K,144,6,F
RUA V,130,4,F
RUA S,581,83,M
RUA S,387,20,M
RUA I,65,34,M
RUA C,277,64,M
RUA I,438,3,M
RUA K,446,30,F
RUA A,823,17,M
RUA A,50,66,M
RUA E,247,53,M
RUA E,768,22,M
RUA W,135,97,M
RUA A,252,42,M
RUA N,899,32,F
RUA R,64,7,F
RUA G,779,1,M
RUA U,413,86,M
RUA O,867,32,F
RUA Q,480,86,F
RUA E,180,89,M
RUA R,50,94,M
RUA S,997,50,F
RUA W,995,71,M
RUA G,840,92,M
RUA R,111,93,F
RUA M,902,46,F
RUA A,421,79,M
RUA V,968,66,F
RUA F,481,58,M
RUA Q,536,67,M
RUA D,622,79,F
RUA A,970,87,F
RUA V,714,19,F
RUA A,370,76,M
RUA X,557,96,M
RUA W,988,98,M
RUA N,389,53,M
RUA U,911,88,F
RUA S,370,32,M
RUA O,405,81,M
RUA H,63,11,F
RUA G,132,35,F
RUA L,900,85,M
RUA S,232,82,F
RUA T,460,13,F
RUA N,273,5,M
RUA H,755,86,F
RUA B,113,6,M
RUA H,38,12,M
RUA R,982,11,F
RUA A,83,14,M
RUA N,624,79,M
RUA M,303,2,M
RUA H,498,87,F
RUA J,222,20,F
RUA O,344,73,M
RUA K,576,94,F
RUA G,159,26,F
RUA K,528,0,M
RUA E,476,9,M
RUA A,239,21,F
RUA V,527,67,F
RUA U,498,6,F
RUA H,654,17,M
RUA X,975,48,F
RUA I,680,72,F
RUA P,180,70,M
RUA G,294,45,F
RUA S,844,99,M
RUA J,224,66,M
RUA P,850,75,M
RUA V,820,76,M
RUA D,877,75,F
RUA I,621,49,M
RUA X,518,70,M
RUA L,199,72,F
RUA F,697,6,F
RUA K,40,74,F
RUA J,667,54,F
RUA A,395,74,M
RUA W,589,57,M
RUA O,438,84,F
RUA M,452,40,M
RUA U,176,94,F
RUA F,196,93,M
RUA P,893,84,M
RUA D,532,6,F
RUA G,9,8,M
RUA M,632,32,M
RUA Q,571,42,F
RUA N,617,67,F
RUA R,985,39,F
RUA O,956,78,F
RUA B,444,57,M
RUA S,88,28,F
RUA D,830,31,M
RUA B,218,11,M
RUA J,298,89,F
RUA Q,52,75,M
RUA E,365,51,F
RUA N,472,16,F
RUA U,652,57,M
RUA I,539,75,M
RUA I,326,32,F
RUA X,748,42,M
RUA L,179,71,F
RUA J,437,78,M
RUA H,299,95,F
RUA N,736,66,F
RUA J,747,64,M
RUA I,363,96,F
RUA I,255,58,F
RUA F,781,52,M
RUA T,153,84,M
RUA X,903,83,M
RUA R,34,95,F
RUA S,447,37,F
RUA B,581,73,M
RUA J,881,32,M
RUA U,730,40,M
RUA C,583,4,F
RUA S,608,36,M
RUA M,336,99,F
RUA N,290,15,M
RUA X,507,8,M
RUA D,4,52,M
RUA V,794,51,F
RUA S,927,89,M
RUA W,27,83,F
RUA D,316,25,F
RUA M,177,70,F
RUA Q,437,91,M
RUA H,295,94,M
RUA P,273,40,M
RUA P,247,85,M
RUA H,473,71,M
RUA S,239,68,M
RUA A,189,98,F
RUA A,9,45,F
RUA B,293,65,F
RUA S,374,86,F
RUA D,623,42,M
RUA X,931,27,M
RUA B,60,4,M
RUA V,554,62,M
RUA Q,723,85,M
RUA K,436,87,F
RUA A,131,60,F
RUA F,819,50,F
RUA R,970,13,F
RUA V,443,95,M
RUA S,840,70,F
RUA B,464,97,M
RUA G,607,15,M
RUA W,221,14,F
RUA N,385,47,F
RUA Q,450,42,F
RUA H,386,23,F
RUA P,64,53,F
RUA G,153,5,M
RUA D,130,13,F
RUA N,837,54,M
RUA B,497,100,M
RUA U,333,24,F
RUA V,475,100,F
RUA T,496,16,F
RUA T,910,50,M
RUA R,145,47,M
RUA V,730,68,M
RUA C,806,46,F
RUA W,435,18,F
RUA C,74,48,F
RUA S,960,33,M
RUA K,927,10,F
RUA R,106,58,M
RUA E,600,71,M
RUA Q,227,65,F
RUA L,455,56,F
RUA D,799,94,F
RUA C,205,87,F
RUA L,787,11,M
RUA R,243,58,F
RUA R,825,78,M
RUA V,241,67,M
RUA K,432,62,F
RUA S,773,49,M
RUA H,344,56,F
RUA W,13,31,M
RUA M,934,52,M
RUA T,817,55,F
RUA I,182,66,M
RUA U,142,49,M
RUA Q,2,4,M
RUA F,507,35,M
RUA V,732,70,F
RUA H,480,100,M
RUA R,287,100,M
RUA Q,276,26,M
RUA Q,155,62,F
RUA T,889,32,M
RUA Q,664,81,M
RUA N,469,97,F
RUA R,493,0,M
RUA M,34,60,M
RUA T,724,23,F
RUA R,318,80,M
RUA D,468,96,F
RUA H,930,67,F
RUA L,966,26,F
RUA V,314,32,F
RUA F,209,34,M
RUA D,831,57,M
RUA C,905,95,M
RUA H,12,83,M
RUA F,529,38,F
RUA D,364,85,F
RUA A,704,66,F
RUA H,143,42,F
RUA E,422,10,F
RUA S,101,0,F
RUA R,158,55,F
RUA H,935,15,F
RUA L,2,37,M
RUA T,819,56,M
RUA X,35,32,M
RUA T,899,65,F
RUA O,826,59,M
RUA M,215,25,F
RUA R,883,87,F
RUA S,404,82,F
RUA U,202,9,F
RUA J,41,40,M
RUA N,406,29,M
RUA S,401,62,F
RUA X,354,5,M
RUA O,779,60,F
RUA D,832,72,F
RUA A,24,3,F
RUA O,774,76,M
RUA D,244,81,F
RUA I,579,58,M
RUA F,654,48,F
RUA S,786,68,M
RUA F,753,7,M
RUA C,68,4,M
RUA C,329,88,F
RUA D,184,48,M
RUA Q,966,18,M
RUA J,993,87,F
RUA K,313,0,M
RUA V,983,99,M
RUA U,593,95,M
RUA M,369,16,F
RUA J,317,57,F
RUA E,671,18,M
RUA Q,209,32,M
RUA K,524,22,F
RUA L,129,65,M
RUA B,507,70,M
RUA D,6,35,F
RUA V,966,46,M
RUA C,829,28,M
RUA D,50,64,M
RUA T,232,32,F
RUA I,619,36,F
RUA F,221,48,M
RUA B,614,5,M
RUA Q,996,86,M
RUA X,359,12,M
RUA C,86,4,M
RUA A,51,79,M
RUA B,262,2,M
RUA T,992,37,F
RUA I,612,17,M
RUA R,32,59,M
RUA J,325,36,M
RUA U,354,93,M
RUA C,783,30,F
RUA E,859,41,F
RUA F,781,80,F
RUA I,764,42,M
RUA N,766,87,M
RUA Q,232,3,M
RUA M,764,9,F
RUA L,93,52,F
RUA C,347,36,M
RUA T,54,7,F
RUA C,187,89,F
RUA A,4,71,F
RUA G,702,71,M
RUA C,122,21,F
RUA W,697,23,M
RUA A,564,61,F
RUA M,541,69,M
RUA R,697,55,F
RUA C,199,65,F
RUA X,965,58,M
RUA L,249,93,F
RUA X,428,66,M
RUA M,679,33,M
RUA Q,20,36,F
RUA V,201,13,M
RUA L,681,59,F
RUA V,793,66,M
RUA I,585,3,M
RUA A,473,64,F
RUA Q,778,6,M
RUA M,631,87,F
RUA T,367,42,F
RUA H,500,95,F
RUA K,235,45,F
RUA K,65,18,M
RUA O,855,24,M
RUA X,586,30,F
RUA W,779,74,M
RUA L,962,40,F
RUA A,545,66,M
RUA F,149,86,F
RUA B,184,24,M
RUA B,255,26,F
RUA W,661,87,F
RUA M,92,29,F
RUA X,920,97,M
RUA P,576,0,F
RUA Q,961,41,F
RUA A,366,19,M
RUA T,582,16,F
RUA P,498,26,F
RUA X,828,52,M
RUA X,165,38,M
RUA P,948,97,M
RUA N,192,40,F
RUA F,727,73,F
RUA S,590,78,M
RUA Q,503,36,M
RUA L,303,51,M
RUA Q,559,31,F
RUA E,177,58,M
RUA H,115,33,F
RUA E,59,40,F
RUA K,218,2,F
RUA F,425,81,F
RUA D,317,97,M
RUA J,147,89,F
RUA M,593,92,M
RUA L,42,86,F
RUA D,213,37,M
RUA R,333,48,M
RUA N,147,24,M
RUA N,159,48,F
RUA L,580,57,F
RUA G,423,16,M
RUA D,297,42,F
RUA S,478,96,M
RUA F,326,13,F
RUA V,487,64,M
RUA W,519,32,M
RUA P,436,11,M
RUA E,681,83,F
RUA G,22,48,F
RUA D,849,46,F
RUA C,33,86,M
RUA G,395,36,M
RUA D,122,15,M
RUA A,728,66,M
RUA J,235,86,F
RUA R,546,58,F
RUA A,3,0,F
RUA A,963,58,F
RUA J,812,86,M
RUA W,441,97,M
RUA E,643,36,M
RUA J,405,30,M
RUA L,50,65,F
RUA I,382,83,M
RUA B,316,56,M
RUA W,376,7,F
RUA W,941,40,F
RUA R,195,66,M
RUA P,729,17,M
RUA L,118,24,M
RUA P,564,36,F
RUA L,320,5,F
RUA W,948,37,F
